City,State,Pop,Size
Twin Falls ,ID,"42,197",4
Noblesville ,IN,"42,155",4
Fond du Lac ,WI,"42,025",4
Crystal Lake ,IL,"41,797",4
Blacksburg,VA,"41,796",4
Newark ,CA,"41,781",4
North Lauderdale ,FL,"41,772",4
Chelsea ,MA,"41,577",4
Aliso Viejo ,CA,"41,572",4
Charlottesville ,VA,"41,487",4
Hickory ,NC,"41,305",4
Salem ,MA,"41,256",4
Danville,CA,"41,182",4
Casa Grande ,AZ,"41,152",4
Rancho Palos Verdes ,CA,"41,106",4
Lompoc ,CA,"41,099",4
Belleville ,IL,"41,097",4
Leominster ,MA,"41,055",4
Wilkes-Barre ,PA,"40,932",4
Midland ,MI,"40,917",4
Hutchinson ,KS,"40,889",4
Fort Pierce ,FL,"40,885",4
Bullhead City ,AZ,"40,868",4
Littleton ,CO,"40,777",4
Jefferson City ,MO,"40,771",4
Lacey ,WA,"40,702",4
La Puente ,CA,"40,642",4
Westfield ,MA,"40,608",4
Hoboken ,NJ,"40,577",4
Rohnert Park ,CA,"40,496",4
San Gabriel ,CA,"40,445",4
San Bruno ,CA,"40,315",4
Fitchburg ,MA,"40,239",4
Haltom City ,TX,"40,181",4
Sammamish ,WA,"40,179",4
Edmonds ,WA,"40,158",4
Muskogee ,OK,"40,099",4
York ,PA,"40,097",4
El Centro ,CA,"40,083",4
Carol Stream,IL,"40,004",4
Columbus ,IN,"40,001",4
Shelton ,CT,"39,991",4
Quincy ,IL,"39,983",4
Altamonte Springs ,FL,"39,947",4
Holyoke ,MA,"39,947",4
Beavercreek ,OH,"39,909",4
Cleveland ,TN,"39,753",4
Riverton ,UT,"39,751",4
Hagerstown ,MD,"39,728",4
Pflugerville ,TX,"39,653",4
Urbana ,IL,"39,641",4
Leesburg,VA,"39,641",4
Spartanburg ,SC,"39,584",4
Hot Springs ,AR,"39,467",4
Bozeman ,MT,"39,442",4
State College,PA,"39,419",4
Atlantic City ,NJ,"39,408",4
Muskegon ,MI,"39,401",4
Coachella ,CA,"39,391",4
Beverly ,MA,"39,343",4
Collierville,TN,"39,211",4
Linden ,NJ,"39,162",4
Coppell ,TX,"39,154",4
Brookfield ,WI,"39,020",4
Keller ,TX,"38,951",4
Burlington ,VT,"38,897",4
Madison ,AL,"38,714",4
Hallandale Beach ,FL,"38,683",4
New Berlin ,WI,"38,649",4
Sumter ,SC,"38,625",4
Campbell ,CA,"38,617",4
Culver City ,CA,"38,580",4
Hurst ,TX,"38,550",4
Dublin ,OH,"38,536",4
Prescott Valley,AZ,"38,535",4
Huntsville ,TX,"38,480",4
Urbandale ,IA,"38,369",4
Calexico ,CA,"38,344",4
Temple City ,CA,"38,341",4
Brea ,CA,"38,314",4
Meridian ,MS,"38,232",4
Rock Island ,IL,"38,139",4
Morgan Hill ,CA,"38,096",4
Sherman ,TX,"38,077",4
Cedar Falls ,IA,"38,059",4
Romeoville,IL,"38,028",4
North Miami Beach ,FL,"37,997",4
Ormond Beach ,FL,"37,984",4
Apopka ,FL,"37,935",4
Marlborough ,MA,"37,932",4
Goose Creek ,SC,"37,900",4
Florence ,AL,"37,877",4
Smyrna,TN,"37,867",4
Wylie ,TX,"37,861",4
San Jacinto ,CA,"37,842",4
Lima ,OH,"37,829",4
Carpentersville,IL,"37,741",4
Pacifica ,CA,"37,739",4
Monrovia ,CA,"37,651",4
Goldsboro ,NC,"37,597",4
Stanton ,CA,"37,589",4
Wausau ,WI,"37,576",4
Cape Girardeau ,MO,"37,370",4
Everett ,MA,"37,353",4
New Albany ,IN,"37,296",4
Germantown ,TN,"37,251",4
Huber Heights ,OH,"37,148",4
Streamwood,IL,"37,119",4
Findlay ,OH,"36,987",4
Portage ,IN,"36,976",4
Lancaster ,OH,"36,976",4
Park Ridge ,IL,"36,927",4
Lake Oswego ,OR,"36,926",4
Addison,IL,"36,917",4
Woburn ,MA,"36,871",4
Gadsden ,AL,"36,816",4
Calumet City ,IL,"36,800",4
Hanover Park,IL,"36,777",4
Kearny,NJ,"36,746",4
Richmond ,IN,"36,733",4
Del Rio ,TX,"36,682",4
Bell ,CA,"36,657",4
Panama City ,FL,"36,644",4
Texarkana ,TX,"36,611",4
Manhattan Beach ,CA,"36,605",4
Chester ,PA,"36,564",4
Longview ,WA,"36,562",4
Montclair ,CA,"36,530",4
Annapolis ,MD,"36,524",4
Plainfield,IL,"36,507",4
Riviera Beach ,FL,"36,430",4
Norwich ,CT,"36,388",4
Moorpark ,CA,"36,372",4
Puyallup ,WA,"36,330",4
University City ,MO,"36,289",4
Fort Lee,NJ,"36,275",4
Mankato ,MN,"36,245",4
Tupelo ,MS,"36,233",4
Westerville ,OH,"36,231",4
Brentwood ,TN,"36,176",4
Beloit ,WI,"36,160",4
Duncanville ,TX,"36,109",4
Dover ,DE,"36,107",4
Maplewood ,MN,"36,087",4
Greenfield ,WI,"36,075",4
Wheeling,IL,"36,063",4
Rome ,GA,"36,041",4
Moorhead ,MN,"36,012",4
Valley Stream,NY,"36,007",4
Bremerton ,WA,"36,006",4
West Hollywood ,CA,"36,005",4
Dunedin ,FL,"35,988",4
Bartlesville ,OK,"35,914",4
Keizer ,OR,"35,864",4
Marion ,OH,"35,841",4
Greenville ,MS,"35,764",4
Lancaster ,TX,"35,761",4
Alamogordo ,NM,"35,757",4
Dana Point ,CA,"35,700",4
Long Beach ,NY,"35,698",4
Roy ,UT,"35,672",4
Gainesville ,GA,"35,668",4
Bentonville ,AR,"35,526",4
Lake Worth ,FL,"35,513",4
Franklin ,WI,"35,500",4
Claremont ,CA,"35,470",4
Minot ,ND,"35,419",4
Cottonwood Heights ,UT,"35,418",4
Lincoln Park ,MI,"35,317",4
Torrington ,CT,"35,312",4
Rockwall ,TX,"35,247",4
Manassas ,VA,"35,205",4
Martinez ,CA,"35,145",4
Fairbanks ,AK,"35,132",4
Lewiston ,ME,"35,131",4
San Dimas ,CA,"35,043",4
Los Banos ,CA,"34,968",4
Burleson ,TX,"34,908",4
Hollister ,CA,"34,877",4
San Juan Capistrano ,CA,"34,793",4
Peachtree City ,GA,"34,788",4
Leavenworth ,KS,"34,729",4
Brunswick ,OH,"34,711",4
Menomonee Falls,WI,"34,607",4
Lufkin ,TX,"34,530",4
Marysville ,WA,"34,482",4
Marana,AZ,"34,466",4
Beverly Hills ,CA,"34,445",4
Columbia ,TN,"34,402",4
La Porte ,TX,"34,274",4
Wildwood ,MO,"34,195",4
Woodridge,IL,"34,130",4
Holland ,MI,"34,076",4
Friendswood ,TX,"33,979",4
San Juan ,TX,"33,970",4
Northbrook,IL,"33,936",4
Hilton Head Island,SC,"33,913",4
Stow ,OH,"33,899",4
Gahanna ,OH,"33,892",4
Bay City ,MI,"33,874",4
Grove City ,OH,"33,829",4
Pleasant Grove ,UT,"33,798",4
Seaside ,CA,"33,797",4
Delaware ,OH,"33,719",4
Mundelein,IL,"33,717",4
Northglenn ,CO,"33,697",4
Rome ,NY,"33,673",4
Reynoldsburg ,OH,"33,657",4
Dalton ,GA,"33,648",4
La Verne ,CA,"33,623",4
Cottage Grove ,MN,"33,623",4
Rosenberg ,TX,"33,595",4
East Palo Alto ,CA,"33,575",4
Lynnwood ,WA,"33,572",4
Jackson ,MI,"33,518",4
Oak Creek ,WI,"33,482",4
Twentynine Palms ,CA,"33,480",4
Shakopee ,MN,"33,455",4
Pekin ,IL,"33,430",4
Inver Grove Heights ,MN,"33,383",4
Weslaco ,TX,"33,354",4
Winter Haven ,FL,"33,353",4
Elk Grove Village,IL,"33,320",4
Grants Pass ,OR,"33,217",4
Manitowoc ,WI,"33,169",4
Apex,NC,"33,075",4
Merrillville,IN,"33,057",4
New Iberia ,LA,"32,959",4
Petersburg ,VA,"32,916",4
Richmond ,KY,"32,895",4
Pleasant Hill ,CA,"32,862",4
St. Charles ,IL,"32,829",4
Marion ,IA,"32,821",4
Roseville ,MN,"32,815",4
Apache Junction ,AZ,"32,776",4
Plant City ,FL,"32,761",4
Richfield ,MN,"32,728",4
Englewood ,CO,"32,669",4
Winter Springs ,FL,"32,667",4
Beaumont ,CA,"32,663",4
Goshen ,IN,"32,630",4
Long Branch ,NJ,"32,622",4
Massillon ,OH,"32,613",4
North Chicago ,IL,"32,608",4
Oviedo ,FL,"32,606",4
Bettendorf ,IA,"32,584",4
Monroe ,NC,"32,543",4
Houma ,LA,"32,512",4
Eastpointe ,MI,"32,497",4
Prattville ,AL,"32,480",4
Michigan City ,IN,"32,405",4
Fairborn ,OH,"32,366",4
Watertown ,MA,"32,365",4
Clovis ,NM,"32,352",4
Bothell ,WA,"32,307",4
Ocoee ,FL,"32,290",4
Danville ,IL,"32,248",4
Nacogdoches ,TX,"32,205",4
Greenacres ,FL,"32,174",4
Franklin ,MA,"32,148",4
Butte-Silver Bow,MT,"32,119",4
Hopkinsville ,KY,"32,076",4
Oakley ,CA,"32,035",4
Socorro ,TX,"32,007",4
Naugatuck,CT,"31,931",4
Upper Arlington ,OH,"31,878",4
Glendale Heights,IL,"31,847",4
Norristown,PA,"31,843",4
Laguna Hills ,CA,"31,838",4
Olive Branch ,MS,"31,830",4
Lewiston ,ID,"31,764",4
Bangor ,ME,"31,756",4
Kennesaw ,GA,"31,628",4
Parkersburg ,WV,"31,611",4
Florence ,SC,"31,570",4
Bethel Park,PA,"31,562",4
Spanish Fork ,UT,"31,538",4
Mount Vernon ,WA,"31,513",4
Oswego,IL,"31,504",4
Highland Park ,IL,"31,449",4
Oregon City ,OR,"31,404",4
Brighton ,CO,"31,380",4
Jacksonville ,AR,"31,351",4
Lawndale ,CA,"31,346",4
Leawood ,KS,"31,342",4
North Olmsted ,OH,"31,319",4
Burien ,WA,"31,316",4
North Tonawanda ,NY,"31,222",4
McMinnville ,OR,"31,185",4
Galesburg ,IL,"31,181",4
Phenix City ,AL,"31,125",4
Douglasville ,GA,"31,035",4
Lauderdale Lakes ,FL,"31,004",4
Juneau,AK,"30,988",4
Wheat Ridge ,CO,"30,894",4
Vestavia Hills ,AL,"30,892",4
Deer Park ,TX,"30,890",4
Port Huron ,MI,"30,869",4
West Lafayette ,IN,"30,847",4
Walnut ,CA,"30,744",4
San Pablo ,CA,"30,729",4
Copperas Cove ,TX,"30,710",4
Granite City ,IL,"30,703",4
Schertz ,TX,"30,669",4
Rochester ,NH,"30,654",4
Walla Walla ,WA,"30,643",4
Gurnee,IL,"30,608",4
Myrtle Beach ,SC,"30,596",4
Chicago Heights ,IL,"30,586",4
Liberty ,MO,"30,568",4
Shawnee ,OK,"30,562",4
Oak Park ,MI,"30,547",4
Westlake ,OH,"30,546",4
Fair Lawn,NJ,"30,521",4
Jeffersonville ,IN,"30,479",4
Hobbs ,NM,"30,476",4
Newnan ,GA,"30,474",4
Saratoga ,CA,"30,445",4
Andover ,MN,"30,442",4
Valparaiso ,IN,"30,429",4
Kearney ,NE,"30,417",4
Algonquin,IL,"30,352",4
University Place ,WA,"30,345",4
Royal Palm Beach,FL,"30,312",4
Gloucester ,MA,"30,243",4
Marion ,IN,"30,212",4
Hinesville ,GA,"30,152",4
Tooele ,UT,"30,120",4
Menlo Park ,CA,"30,087",4
Texarkana ,AR,"30,087",4
La Vergne ,TN,"30,034",4
Ballwin ,MO,"30,033",4
East Chicago ,IN,"29,978",4
Wenatchee ,WA,"29,898",4
West Bend ,WI,"29,894",4
Cleburne ,TX,"29,889",4
Newark ,DE,"29,886",4
Burton ,MI,"29,845",4
Ithaca ,NY,"29,763",4
Lake in the Hills,IL,"29,698",4
Mason ,OH,"29,682",4
Poughkeepsie ,NY,"29,654",4
Morgantown ,WV,"29,642",4
Bowling Green ,OH,"29,542",4
Madison Heights ,MI,"29,531",4
Jamestown ,NY,"29,463",4
Williamsport ,PA,"29,456",4
Benton ,AR,"29,452",4
Westfield,NJ,"29,450",4
Aiken ,SC,"29,434",4
Cooper City ,FL,"29,422",4
Goleta ,CA,"29,404",4
Alton ,IL,"29,393",4
Winter Garden ,FL,"29,385",4
Alabaster ,AL,"29,352",4
Helena ,MT,"29,351",4
Gallatin ,TN,"29,343",4
North Royalton ,OH,"29,331",4
Los Gatos,CA,"29,320",4
Sanford ,NC,"29,284",4
Elmira ,NY,"29,271",4
Lawrenceville ,GA,"29,258",4
Aventura ,FL,"29,254",4
Cookeville ,TN,"29,234",4
Englewood ,NJ,"29,112",4
Foster City ,CA,"29,089",4
Cutler Bay,FL,"29,070",4
Salisbury ,NC,"28,972",4
Garfield ,NJ,"28,971",4
Millville ,NJ,"28,930",4
Banning ,CA,"28,917",4
Wheeling ,WV,"28,913",4
Schererville,IN,"28,886",4
Saratoga Springs ,NY,"28,844",4
East St. Louis ,IL,"28,773",4
Des Moines ,WA,"28,755",4
St. Cloud ,FL,"28,745",4
Paso Robles,CA,"28,715",4
Waxahachie ,TX,"28,668",4
Cedar City ,UT,"28,667",4
Niles,IL,"28,666",4
Rahway ,NJ,"28,624",4
Lindenhurst,NY,"28,620",4
Santa Paula ,CA,"28,618",4
Dover ,NH,"28,609",4
New Bern ,NC,"28,586",4
Garden City ,KS,"28,557",4
Adelanto ,CA,"28,553",4
Bessemer ,AL,"28,542",4
Springville ,UT,"28,520",4
Atascadero ,CA,"28,452",4
LaGrange ,GA,"28,401",4
Northampton ,MA,"28,379",4
Los Altos ,CA,"28,349",4
Sun Prairie ,WI,"28,322",4
Gladstone ,MO,"28,243",4
Maywood ,CA,"28,224",4
Salisbury ,MD,"28,200",4
Raytown ,MO,"28,194",4
Port Chester,NY,"28,171",4
North Ridgeville ,OH,"28,153",4
Midvale ,UT,"28,129",4
Soledad ,CA,"28,124",4
Newburgh ,NY,"28,101",4
Dania Beach ,FL,"28,093",4
Agawam ,MA,"28,091",4
Harvey ,IL,"28,056",4
Rexburg ,ID,"28,028",4
Kent ,OH,"27,983",4
Henderson ,KY,"27,933",4
Winter Park ,FL,"27,909",4
Hilliard ,OH,"27,901",4
Hobart ,IN,"27,891",4
Round Lake Beach,IL,"27,855",4
Clearfield ,UT,"27,851",4
Plainfield,IN,"27,832",4
Kingman ,AZ,"27,817",4
Monterey ,CA,"27,763",4
Florence ,KY,"27,745",4
Oak Forest ,IL,"27,740",4
Southgate ,MI,"27,739",4
Garfield Heights ,OH,"27,734",4
Burlingame ,CA,"27,706",4
Savage ,MN,"27,692",4
Oak Ridge ,TN,"27,677",4
Laramie ,WY,"27,664",4
Prichard ,AL,"27,662",4
Monroeville,PA,"27,639",4
Morristown ,TN,"27,636",4
Russellville ,AR,"27,602",4
Burbank ,IL,"27,567",4
O'Fallon ,IL,"27,540",4
Batavia ,IL,"27,502",4
Owasso ,OK,"27,467",4
West Springfield ,MA,"27,459",4
Lake Jackson ,TX,"27,417",4
Brooklyn Center ,MN,"27,402",4
Xenia ,OH,"27,357",4
Mason City ,IA,"27,337",4
Frankfort ,KY,"27,322",4
Watertown ,NY,"27,310",4
De Land ,FL,"27,243",4
San Carlos ,CA,"27,238",4
Slidell ,LA,"27,183",4
Statesboro ,GA,"27,158",4
Maryville ,TN,"27,156",4
Glen Ellyn,IL,"27,142",4
Garner,NC,"27,138",4
Auburn ,NY,"27,138",4
West Memphis ,AR,"27,070",4
Wake Forest,NC,"27,068",4
American Fork ,UT,"27,064",4
Oakdale ,MN,"27,034",4
Anderson ,SC,"27,027",4
Suisun City ,CA,"26,977",4
College Park ,MD,"26,925",4
Pullman ,WA,"26,920",4
Matthews,NC,"26,901",4
Glen Cove ,NY,"26,895",4
Gillette ,WY,"26,871",4
McHenry ,IL,"26,862",4
Opelika ,AL,"26,808",4
Winona ,MN,"26,785",4
Kirkwood ,MO,"26,760",4
Garden City ,MI,"26,743",4
Kankakee ,IL,"26,710",4
Melrose ,MA,"26,708",4
Weatherford ,TX,"26,686",4
Mount Pleasant ,MI,"26,675",4
Lansing,IL,"26,672",4
Eagle Pass ,TX,"26,668",4
Harrison,NY,"26,665",4
Norco ,CA,"26,659",4
Inkster ,MI,"26,621",4
Southlake ,TX,"26,595",4
Barberton ,OH,"26,581",4
Mount Pleasant,WI,"26,572",4
Atwater ,CA,"26,565",4
Imperial Beach ,CA,"26,543",4
Thomasville ,NC,"26,526",4
Tualatin ,OR,"26,476",4
Paradise,CA,"26,469",4
Belvidere ,IL,"26,461",4
Post Falls ,ID,"26,460",4
Shaker Heights ,OH,"26,460",4
Corsicana ,TX,"26,459",4
Farmers Branch ,TX,"26,455",4
West Chicago ,IL,"26,454",4
Nicholasville ,KY,"26,444",4
Wilmette,IL,"26,418",4
Statesville ,NC,"26,414",4
Clinton ,IA,"26,407",4
Seguin ,TX,"26,394",4
Emporia ,KS,"26,380",4
Clinton ,MS,"26,313",4
Spring Valley,NY,"26,291",4
Carbondale ,IL,"26,231",4
Spring Hill ,TN,"26,230",4
Jeffersontown ,KY,"26,226",4
Superior ,WI,"26,223",4
Wooster ,OH,"26,212",4
Plum,PA,"26,198",4
Benicia ,CA,"26,174",4
Paramus,NJ,"26,128",4
Duluth ,GA,"26,125",4
Homer Glen,IL,"26,111",4
Kyle ,TX,"26,103",4
Easton ,PA,"26,080",4
Paris ,TX,"26,050",4
Trotwood ,OH,"26,039",4
Allen Park ,MI,"26,014",4
Medina ,OH,"26,011",4
Collinsville ,IL,"25,960",4
Maryland Heights ,MO,"25,949",4
Winchester ,VA,"25,897",4
New London ,CT,"25,891",4
Fridley ,MN,"25,868",4
Middletown ,NY,"25,865",4
Marshalltown ,IA,"25,850",4
SeaTac ,WA,"25,840",4
Kaysville ,UT,"25,820",4
Bristol ,TN,"25,817",4
Dodge City ,KS,"25,689",4
Sandusky ,OH,"25,688",4
Holladay ,UT,"25,676",4
Greenville ,TX,"25,676",4
Ridgecrest ,CA,"25,638",4
Carlsbad ,NM,"25,629",4
Bergenfield,NJ,"25,611",4
Paducah ,KY,"25,521",4
Salem ,VA,"25,449",4
Sanger ,CA,"25,447",4
Leander ,TX,"25,424",4
Harker Heights ,TX,"25,417",4
Hastings ,NE,"25,394",4
Windsor,CA,"25,362",4
Enterprise ,AL,"25,351",4
Hazelwood ,MO,"25,345",4
Stevens Point ,WI,"25,327",4
Riverside ,OH,"25,327",4
Burlington ,IA,"25,327",4
Eureka ,CA,"25,300",4
West Linn ,OR,"25,236",4
Fountain Hills,AZ,"25,227",4
Fremont ,NE,"25,224",4
Fort Dodge ,IA,"25,180",4
Zion ,IL,"25,161",4
Corcoran ,CA,"25,139",4
Zanesville ,OH,"25,129",4
Shoreview ,MN,"25,111",4
San Benito ,TX,"25,072",4
Lafayette ,CO,"25,065",4
Neenah ,WI,"25,060",4
Maywood,IL,"25,035",4
Lafayette ,CA,"25,011",4
Westmont,IL,"24,979",4
Vicksburg ,MS,"24,974",4
Little Elm ,TX,"24,947",4
San Luis ,AZ,"24,909",4
Owatonna ,MN,"24,855",4
University Park ,TX,"24,853",4
Lockport ,IL,"24,810",4
Ardmore ,OK,"24,810",4
Paragould ,AR,"24,800",4
De Pere ,WI,"24,779",4
Belmont ,CA,"24,776",4
Casselberry ,FL,"24,759",4
El Mirage ,AZ,"24,751",4
Rockledge ,FL,"24,747",4
Bridgeton ,NJ,"24,742",4
Wyandotte ,MI,"24,739",4
Kingsville ,TX,"24,702",4
Horn Lake ,MS,"24,669",4
Lebanon ,TN,"24,648",4
Wasco ,CA,"24,628",4
Freeport ,IL,"24,615",4
Asheboro ,NC,"24,609",4
Barstow ,CA,"24,596",4
Belton ,MO,"24,591",4
Edwardsville ,IL,"24,557",4
Greer ,SC,"24,557",4
Redmond ,OR,"24,551",4
Sherwood ,AR,"24,542",4
Ponca City ,OK,"24,507",4
East Cleveland ,OH,"24,507",4
Desert Hot Springs ,CA,"24,489",4
Cornelius,NC,"24,487",4
Hercules ,CA,"24,484",4
Peekskill ,NY,"24,484",4
Vernon Hills,IL,"24,462",4
Aberdeen ,SD,"24,460",4
Loves Park ,IL,"24,457",4
South Pasadena ,CA,"24,446",4
Colleyville ,TX,"24,428",4
Rockville Centre,NY,"24,414",4
Pearl ,MS,"24,400",4
Crown Point ,IN,"24,376",4
Queen Creek,AZ,"24,361",4
Ottumwa ,IA,"24,342",4
Cudahy ,CA,"24,334",4
Geneva ,IL,"24,302",4
Big Spring ,TX,"24,270",4
Caledonia,WI,"24,220",4
New Castle ,PA,"24,212",4
Starkville ,MS,"24,187",4
Mercer Island ,WA,"24,163",4
Ridgewood,NJ,"24,163",4
Elizabethtown ,KY,"24,144",4
New Lenox,IL,"24,137",4
Seal Beach ,CA,"24,127",4
Chaska ,MN,"24,116",4
North Platte ,NE,"24,107",4
Lebanon ,PA,"24,097",4
White Bear Lake ,MN,"24,095",4
Lemon Grove ,CA,"24,089",4
Issaquah ,WA,"24,057",4
Elmwood Park,IL,"24,052",4
Grandview ,MO,"24,033",4
Galt ,CA,"24,026",4
Parkland ,FL,"24,017",4
Watauga ,TX,"24,005",4
Denison ,TX,"24,001",4
Avon Lake ,OH,"23,996",4
Laguna Beach ,CA,"23,995",4
Doral ,FL,"23,974",4
Staunton ,VA,"23,967",4
Woodstock ,IL,"23,930",4
Dolton,IL,"23,889",4
Lemoore ,CA,"23,873",4
Fairfax ,VA,"23,844",4
Homewood ,AL,"23,840",4
Prior Lake ,MN,"23,836",4
San Fernando ,CA,"23,833",4
South Portland ,ME,"23,803",4
Marshall ,TX,"23,798",4
Ossining,NY,"23,798",4
Columbus ,MS,"23,798",4
Lodi,NJ,"23,776",4
Wentzville ,MO,"23,768",4
Papillion ,NE,"23,739",4
Ramsey ,MN,"23,734",4
Walker ,MI,"23,722",4
Griffin ,GA,"23,719",4
Athens ,AL,"23,715",4
West Fargo ,ND,"23,708",4
Maple Heights ,OH,"23,667",4
Anniston ,AL,"23,662",4
Cabot ,AR,"23,614",4
Pascagoula ,MS,"23,609",4
Mequon ,WI,"23,584",4
Newport ,RI,"23,523",4
Champlin ,MN,"23,503",4
Chanhassen ,MN,"23,480",4
Rolling Meadows ,IL,"23,463",4
Reedley ,CA,"23,439",4
Green ,OH,"23,404",4
Tarpon Springs ,FL,"23,369",4
Carteret,NJ,"23,367",4
Fitchburg ,WI,"23,344",4
South Lake Tahoe ,CA,"23,333",4
New Smyrna Beach ,FL,"23,325",4
Norton Shores ,MI,"23,307",4
Carrollton ,GA,"23,291",4
Franklin ,IN,"23,258",4
Muskego ,WI,"23,234",4
Opelousas ,LA,"23,220",4
Roselle,IL,"23,209",4
Elk River ,MN,"23,194",4
Auburn ,ME,"23,177",4
Hopewell ,VA,"23,142",4
Woodstock ,GA,"23,141",4
Lisle,IL,"23,135",4
Northport ,AL,"23,118",4
Hudson ,OH,"23,037",4
Romulus ,MI,"22,963",4
Benbrook ,TX,"22,957",4
Newberg ,OR,"22,953",4
Norfolk ,NE,"22,940",4
Watertown ,WI,"22,930",4
Huntley,IL,"22,923",4
Sahuarita,AZ,"22,913",4
Centerville ,OH,"22,904",4
Oxford ,OH,"22,887",4
Cliffside Park,NJ,"22,863",4
Alvin ,TX,"22,853",4
Yukon ,OK,"22,849",4
Kerrville ,TX,"22,821",4
Fredericksburg ,VA,"22,818",4
Machesney Park,IL,"22,815",4
Selma ,CA,"22,807",4
Austin ,MN,"22,800",4
Moscow ,ID,"22,798",4
East Peoria ,IL,"22,760",4
Oak Harbor ,WA,"22,744",4
Woodburn ,OR,"22,728",4
Brawley ,CA,"22,725",4
Canton ,GA,"22,724",4
Palmetto Bay,FL,"22,666",4
Highland,IN,"22,641",4
Coronado ,CA,"22,633",4
South Plainfield,NJ,"22,623",4
Temple Terrace ,FL,"22,619",4
Duncan ,OK,"22,617",4
Park Forest,IL,"22,583",4
Willoughby ,OH,"22,561",4
Van Buren ,AR,"22,543",4
Greenwood ,SC,"22,533",4
Derby ,KS,"22,517",4
Muscatine ,IA,"22,504",4
Morton Grove,IL,"22,478",4
Alliance ,OH,"22,476",4
Kingston ,NY,"22,441",4
Keene ,NH,"22,407",4
Kernersville,NC,"22,392",4
Darien ,IL,"22,370",4
Key West ,FL,"22,364",4
Kinston ,NC,"22,360",4
Webster Groves ,MO,"22,335",4
Laurel ,MD,"22,329",4
Blue Island ,IL,"22,325",4
Eagle Mountain ,UT,"22,309",4
Searcy ,AR,"22,299",4
Chillicothe ,OH,"22,296",4
Agoura Hills ,CA,"22,283",4
Garden City,NY,"22,275",4
El Cerrito ,CA,"22,222",4
Villa Park,IL,"22,198",4
Syracuse ,UT,"22,195",4
Calabasas ,CA,"22,185",4
Brandon ,MS,"22,160",4
McKeesport ,PA,"22,130",4
Hastings ,MN,"22,126",4
Leesburg ,FL,"22,113",4
Munster,IN,"22,105",4
Athens ,OH,"22,088",4
Del City ,OK,"22,067",4
Herndon,VA,"22,045",4
Radcliff ,KY,"22,013",4
Faribault ,MN,"22,009",4
Lumberton ,NC,"22,006",4
Troy ,OH,"21,975",4
Mooresville,NC,"21,954",4
Waynesboro ,VA,"21,953",4
Bainbridge Island ,WA,"21,890",4
Clarksville,IN,"21,873",4
Solon ,OH,"21,866",4
Melrose Park,IL,"21,853",4
Ashland ,OH,"21,850",4
Bloomingdale,IL,"21,848",4
Libertyville,IL,"21,843",4
Duarte ,CA,"21,839",4
Kiryas Joel,NY,"21,793",4
Mauldin ,SC,"21,784",4
Havelock ,NC,"21,764",4
Grayslake,IL,"21,735",4
Hazleton ,PA,"21,732",4
Miami Lakes,FL,"21,727",4
Blythe ,CA,"21,727",4
Forest Park ,GA,"21,726",4
Mount Juliet ,TN,"21,718",4
Charleston ,IL,"21,715",4
Crystal ,MN,"21,707",4
Independence ,KY,"21,694",4
Jacksonville Beach ,FL,"21,673",4
Johnstown ,PA,"21,641",4
South Salt Lake ,UT,"21,607",4
Loma Linda ,CA,"21,601",4
Columbus ,NE,"21,595",4
Georgetown ,KY,"21,589",4
New Brighton ,MN,"21,563",4
Naples ,FL,"21,532",4
Ridgeland ,MS,"21,509",4
Prairie Village ,KS,"21,479",4
Port Hueneme ,CA,"21,478",4
Ypsilanti ,MI,"21,464",4
Shelby ,NC,"21,449",4
Biddeford ,ME,"21,435",4
Edgewater ,FL,"21,415",4
South El Monte ,CA,"21,397",4
Adrian ,MI,"21,391",4
Ashland ,OR,"21,390",4
Monroe ,MI,"21,374",4
Ashland ,KY,"21,346",4
Plainview ,TX,"21,334",4
Pottstown,PA,"21,288",4
Pelham ,AL,"21,266",4
South Euclid ,OH,"21,209",4
Rosemount ,MN,"21,197",4
Kalispell ,MT,"21,182",4
La Porte ,IN,"21,174",4
Sapulpa ,OK,"21,173",4
Westfield,IN,"21,171",4
North Plainfield,NJ,"21,143",4
South Elgin,IL,"21,131",4
South Milwaukee ,WI,"21,129",4
Ruston ,LA,"21,123",4
Ferndale ,MI,"21,112",4
Greenbelt ,MD,"21,098",4
South Holland,IL,"21,083",4
Mountain Brook ,AL,"21,061",4
Lake Forest ,IL,"20,990",4
Sedalia ,MO,"20,990",4
Forest Grove ,OR,"20,985",4
Ferguson ,MO,"20,964",4
Venice ,FL,"20,946",4
Auburn Hills ,MI,"20,931",4
Marquette ,MI,"20,916",4
East Moline ,IL,"20,892",4
Holly Springs,NC,"20,870",4
Millbrae ,CA,"20,800",4
Florence,AZ,"20,781",4
Corinth ,TX,"20,773",4
Mukilteo ,WA,"20,742",4
North Augusta ,SC,"20,712",4
Milwaukie ,OR,"20,707",4
Milledgeville ,GA,"20,703",4
Wadsworth ,OH,"20,696",4
Gardner ,MA,"20,682",4
Roseburg ,OR,"20,681",4
Bixby ,OK,"20,678",4
La Ca_ada Flintridge ,CA,"20,671",4
Junction City ,KS,"20,671",4
West Mifflin,PA,"20,669",4
Lockport ,NY,"20,630",4
Oxford ,AL,"20,622",4
Lake Zurich,IL,"20,610",4
Riverbank ,CA,"20,606",4
Arnold ,MO,"20,603",4
Roselle,NJ,"20,599",4
Piqua ,OH,"20,582",4
Summit ,NJ,"20,557",4
